cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Atheist,Ontario,76,Student,Female,Professional degree or doctorate,More immigrants,Canadian,Got worse,3,NDP,Somewhat disagree,Strongly disagree,Somewhat disagree,24,3.0,2.0,2.0,1.0
Atheist,Newfoundland,39,Retired,Male,Bachelor degree,More immigrants,Canadian,Got better,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,61,3.0,1.0,1.0,1.0
Agnostic,Alberta,58,Working for pay full-time,Male,Bachelor degree,More immigrants,Canadian,Got better,3,NDP,Strongly disagree,Strongly disagree,Strongly disagree,42,3.0,1.0,1.0,1.0
Atheist,New Brunswick,60,Working for pay part-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Green Party,Strongly agree,Somewhat agree,Somewhat agree,40,1.0,4.0,5.0,4.0
Anglican,Alberta,39,Retired,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Neither agree nor disagree,Strongly disagree,Somewhat disagree,61,2.0,2.0,3.0,1.0
Catholic,Saskatchewan,40,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,60,2.0,3.0,4.0,3.0
Presbyterian,Ontario,29,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Got better,2,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,71,1.0,2.0,5.0,2.0
Lutheran,Ontario,53,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,47,2.0,2.0,5.0,2.0
Catholic,Ontario,39,Retired,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,61,3.0,1.0,2.0,1.0
Atheist,British Columbia,44,Self employed,Male,Master degree,About the same number of immigrants as now,Immigrant,Got worse,2,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,56,2.0,2.0,5.0,2.0
Catholic,Ontario,58,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,42,2.0,2.0,4.0,2.0
Protestant,Ontario,41,Working for pay full-time,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat disagree,Strongly disagree,59,1.0,1.0,5.0,2.0
Salvation Army,Saskatchewan,36,Retired,Female,Some technical,Fewer immigrants,Canadian,Stayed about the same,2,Green Party,Strongly agree,Somewhat agree,Strongly agree,64,1.0,5.0,5.0,4.0
Catholic,Saskatchewan,49,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,51,2.0,2.0,4.0,2.0
Atheist,Ontario,32,Retired,Male,Bachelor degree,More immigrants,Immigrant,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,68,3.0,1.0,4.0,1.0
Protestant,Quebec,56,Caring for a family,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Strongly disagree,44,3.0,1.0,4.0,3.0
Catholic,Ontario,68,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Strongly disagree,Strongly disagree,Strongly disagree,32,2.0,1.0,1.0,1.0
Anglican,New Brunswick,37,Working for pay full-time,Male,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Somewhat disagree,63,2.0,2.0,3.0,1.0
Protestant,Ontario,41,Working for pay part-time,Female,Professional degree or doctorate,Fewer immigrants,Immigrant,Got worse,3,Liberal,Strongly agree,Strongly disagree,Strongly agree,59,1.0,5.0,5.0,1.0
Catholic,Ontario,44,Retired,Female,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,56,2.0,2.0,4.0,2.0
Catholic,Ontario,27,Retired,Male,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,73,3.0,1.0,4.0,1.0
Presbyterian,Quebec,36,Disabled,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Strongly agree,Somewhat disagree,Somewhat disagree,64,2.0,2.0,5.0,2.0
Catholic,Quebec,55,Working for pay full-time,Male,Some university,Fewer immigrants,Canadian,Got better,2,Liberal,Strongly agree,Somewhat disagree,Neither agree nor disagree,45,1.0,3.0,5.0,2.0
Atheist,British Columbia,63,Caring for a family,Female,Some technical,Fewer immigrants,Canadian,Stayed about the same,3,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,37,1.0,3.0,4.0,3.0
Atheist,Saskatchewan,41,Working for pay part-time,Female,Some university,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Somewhat agree,Somewhat agree,59,1.0,4.0,5.0,4.0
United Church of Canada,British Columbia,19,Retired,Male,Completed technical,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,81,2.0,1.0,4.0,1.0
Anglican,British Columbia,35,Retired,Female,Completed technical,More immigrants,Canadian,Got better,1,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,65,3.0,1.0,4.0,1.0
Anglican,Ontario,51,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,49,1.0,2.0,4.0,3.0
Anglican,Manitoba,47,Unemployed/ looking for work,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,3,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,53,1.0,2.0,3.0,2.0
Protestant,Ontario,65,Self employed,Female,Bachelor degree,More immigrants,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,35,3.0,1.0,2.0,1.0
Protestant,British Columbia,40,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,1,Conservative,Strongly agree,Strongly agree,Somewhat agree,60,1.0,4.0,5.0,5.0
Atheist,Ontario,61,Working for pay full-time,Female,Master degree,More immigrants,Canadian,Got worse,1,NDP,Strongly disagree,Strongly disagree,Strongly disagree,39,3.0,1.0,1.0,1.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Ontario,30,Retired,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,1,NDP,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,70,1.0,2.0,3.0,2.0
Atheist,Ontario,17,Retired,Female,Bachelor degree,Fewer immigrants,Canadian,Got better,3,Liberal,Strongly agree,Somewhat disagree,Somewhat disagree,83,1.0,2.0,5.0,2.0
Atheist,Nova Scotia,29,Retired,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,71,2.0,2.0,4.0,2.0
Protestant,Nova Scotia,61,Self employed,Female,Master degree,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Somewhat agree,Somewhat disagree,Strongly disagree,39,2.0,1.0,4.0,2.0
Orthodox,Saskatchewan,29,Retired,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,71,1.0,3.0,5.0,3.0
Catholic,Ontario,43,Working for pay full-time,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,57,2.0,4.0,4.0,3.0
Agnostic,British Columbia,37,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,63,2.0,2.0,4.0,2.0
Atheist,British Columbia,66,Working for pay full-time,Male,Master degree,More immigrants,Canadian,Stayed about the same,2,NDP,Somewhat disagree,Strongly disagree,Somewhat disagree,34,3.0,2.0,2.0,1.0
Atheist,Quebec,21,Retired,Male,Some technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Somewhat disagree,Neither agree nor disagree,79,2.0,3.0,4.0,2.0
Jewish,British Columbia,21,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,79,2.0,2.0,2.0,1.0
Orthodox,Ontario,39,Working for pay full-time,Female,Completed elementary school,Fewer immigrants,Immigrant,Stayed about the same,2,People Party,Strongly agree,Strongly agree,Neither agree nor disagree,61,1.0,3.0,5.0,5.0
Jewish,Quebec,46,Self employed,Female,Completed technical,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,54,3.0,1.0,3.0,1.0
Catholic,Ontario,50,Working for pay full-time,Male,Completed technical,Fewer immigrants,Canadian,Got worse,2,Green Party,Strongly agree,Strongly agree,Strongly agree,50,1.0,5.0,5.0,5.0
Buddhist,British Columbia,48,Working for pay full-time,Female,Some university,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Strongly disagree,Strongly disagree,Strongly disagree,52,2.0,1.0,1.0,1.0
Atheist,Ontario,61,Disabled,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Strongly agree,Somewhat agree,Somewhat disagree,39,2.0,2.0,5.0,4.0
Atheist,Ontario,37,Retired,Female,Master degree,More immigrants,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,63,3.0,1.0,3.0,1.0
Baptist,Ontario,35,Working for pay part-time,Female,Some technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,65,1.0,3.0,5.0,5.0
Catholic,Alberta,61,Working for pay full-time,Female,Some university,More immigrants,Canadian,Stayed about the same,1,Liberal,Somewhat agree,Somewhat disagree,Strongly agree,39,3.0,5.0,4.0,2.0
Catholic,Ontario,70,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Neither agree nor disagree,Strongly agree,30,1.0,5.0,5.0,3.0
Atheist,Alberta,69,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Not voted,Somewhat agree,Somewhat disagree,Somewhat disagree,31,2.0,2.0,4.0,2.0
Agnostic,Ontario,26,Retired,Male,Some university,Fewer immigrants,Canadian,Got better,2,Conservative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,74,1.0,3.0,4.0,2.0
Agnostic,Nova Scotia,52,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,48,2.0,1.0,2.0,1.0
United Church of Canada,Ontario,57,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,3,Liberal,Strongly disagree,Somewhat disagree,Strongly disagree,43,2.0,1.0,1.0,2.0
Atheist,Saskatchewan,32,Self employed,Male,Professional degree or doctorate,More immigrants,Canadian,Got worse,2,NDP,Neither agree nor disagree,Strongly disagree,Strongly disagree,68,3.0,1.0,3.0,1.0
Baptist,Quebec,47,Disabled,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,53,1.0,3.0,5.0,3.0
Protestant,Nova Scotia,29,Retired,Male,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,71,2.0,2.0,4.0,2.0
Catholic,New Brunswick,59,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat agree,Strongly agree,41,1.0,5.0,5.0,4.0
Atheist,Quebec,59,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,1,NDP,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,41,2.0,3.0,5.0,3.0
Catholic,New Brunswick,21,Retired,Male,Some technical,About the same number of immigrants as now,Immigrant,Got worse,3,Green Party,Strongly agree,Somewhat agree,Strongly disagree,79,2.0,1.0,5.0,4.0
Catholic,Ontario,59,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,41,2.0,3.0,4.0,3.0
Protestant,Ontario,32,Retired,Male,Some technical,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Somewhat agree,68,2.0,4.0,5.0,2.0
Atheist,Manitoba,70,Working for pay full-time,Female,Completed technical,More immigrants,Canadian,Stayed about the same,2,NDP,Strongly disagree,Strongly disagree,Somewhat disagree,30,3.0,2.0,1.0,1.0
Christian Reformed,Saskatchewan,52,Working for pay part-time,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,1,Liberal,Strongly agree,Neither agree nor disagree,Strongly agree,48,1.0,5.0,5.0,3.0
Atheist,Ontario,40,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,60,2.0,1.0,3.0,1.0
Agnostic,Ontario,50,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,2,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,50,2.0,2.0,4.0,3.0
Mennonite,British Columbia,45,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Got worse,1,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,55,2.0,3.0,5.0,3.0
Anglican,Ontario,25,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Somewhat disagree,75,2.0,2.0,4.0,1.0
Atheist,Ontario,72,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,28,2.0,3.0,4.0,3.0
Atheist,Alberta,65,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Immigrant,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,35,2.0,2.0,4.0,2.0
Atheist,British Columbia,58,Self employed,Female,Completed technical,More immigrants,Canadian,Stayed about the same,2,Green Party,Neither agree nor disagree,Strongly disagree,Strongly disagree,42,3.0,1.0,3.0,1.0
Agnostic,British Columbia,53,Self employed,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,47,2.0,3.0,5.0,3.0
Anglican,Alberta,34,Working for pay full-time,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,66,1.0,3.0,5.0,5.0
Christian Reformed,Alberta,34,Retired,Male,Some university,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,66,1.0,4.0,4.0,4.0
United Church of Canada,Nova Scotia,78,Working for pay part-time,Female,Bachelor degree,More immigrants,Canadian,Got worse,2,Conservative,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,22,3.0,3.0,3.0,2.0
Catholic,Ontario,65,Working for pay full-time,Female,Some technical,About the same number of immigrants as now,Immigrant,Got better,2,Liberal,Strongly agree,Strongly disagree,Somewhat disagree,35,2.0,2.0,5.0,1.0
Atheist,British Columbia,62,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,3,NDP,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,38,2.0,3.0,2.0,2.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Alberta,40,Retired,Male,Completed technical,Fewer immigrants,Canadian,Got worse,2,Conservative,Somewhat agree,Somewhat disagree,Neither agree nor disagree,60,1.0,3.0,4.0,2.0
Anglican,British Columbia,31,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Got better,2,Liberal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,69,2.0,1.0,3.0,3.0
Agnostic,British Columbia,34,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,66,2.0,1.0,4.0,1.0
Baptist,Manitoba,64,Unemployed/ looking for work,Female,Completed secondary/ high school,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Somewhat agree,Somewhat agree,36,1.0,4.0,4.0,4.0
Protestant,Alberta,56,Working for pay full-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,44,1.0,4.0,4.0,3.0
